nombre_jugador,pais_nacimiento,pais_donde_juega,posicion,edad,numero_partidos_seleccion,goles_seleccion
Bryan Caicedo,Ecuador,Ecuador,Mediocampista defensivo,34,53,12
Théo Fofana Petit,Francia,Argentina,Defensa central,33,106,0
Christian Johnson,Estados Unidos,Inglaterra,Extremo derecho,29,58,9
Olivier Giroud,Francia,Francia,Delantero centro,30,92,21
Miles Pulisic,Estados Unidos,Inglaterra,Extremo izquierdo,35,54,4
Bryan Cedeño Mina,Ecuador,Francia,Mediocampista defensivo,22,17,2
Nicolás Martínez,Argentina,Argentina,Mediocampista ofensivo,35,83,10
Julian Wagner Becker,Alemania,Japón,Extremo derecho,24,19,12
Kelechi Balogun,Nigeria,Argentina,Defensa central,37,32,0
Noah Miller,Estados Unidos,Estados Unidos,Delantero centro,32,64,16
Pedri Ruiz López,España,España,Defensa central,36,50,3
Rafael Ferreira Barbosa,Brasil,México,Mediocampista ofensivo,32,39,4
Gonzalo Álvarez,Argentina,Alemania,Lateral derecho,24,32,1
Mason Green,Inglaterra,Inglaterra,Arquero,36,56,0
Thiago Álvarez Fernández,Argentina,Argentina,Mediocampista ofensivo,38,115,10
Rodrygo Almeida Costa,Brasil,Brasil,Mediocampista defensivo,19,13,5
Carlos Alonso,España,España,Extremo derecho,35,89,6
Rodrygo Costa,Brasil,España,Mediocampista ofensivo,38,53,6
Théo Diaby,Francia,Francia,Delantero centro,29,54,20
Diego Rodríguez,México,España,Defensa central,30,29,2
Craig Grant,Australia,Australia,Extremo izquierdo,29,35,16
Jude Walker,Inglaterra,Inglaterra,Extremo izquierdo,20,18,6
Carlos Ramírez,México,México,Mediocampista ofensivo,22,22,3
João Ramos Pereira,Portugal,Alemania,Extremo izquierdo,19,24,5
Lachlan Maclaren,Australia,Australia,Lateral derecho,18,17,1
Thomas Müller,Alemania,Alemania,Lateral izquierdo,26,59,7
Aaron Rowles,Australia,Australia,Mediocampista ofensivo,21,15,4
Jordi Martínez,España,España,Lateral derecho,26,62,1
Ethan Miller Pulisic,Estados Unidos,España,Lateral derecho,28,37,5
Brandon Adams Miller,Estados Unidos,Estados Unidos,Lateral derecho,28,57,1
Rodrygo Lima Ferreira,Brasil,Estados Unidos,Mediocampista ofensivo,27,57,1
Gonçalo Ramos,Portugal,Portugal,Extremo derecho,38,43,23
Rúben Ferreira,Portugal,Portugal,Lateral izquierdo,23,31,6
Florian Weber,Alemania,Alemania,Lateral izquierdo,25,55,6
Samuel Adebayo,Nigeria,Nigeria,Extremo derecho,24,31,8
Santiago Hernández,México,Ecuador,Arquero,26,34,0
Nicolas Mané Dieng,Senegal,Senegal,Delantero centro,21,25,21
Emiliano Rodríguez Molina,Argentina,Argentina,Extremo derecho,19,13,9
Cheikhou Fall,Senegal,Senegal,Defensa central,38,73,8
Ilias Ziyech,Marruecos,Portugal,Delantero centro,21,22,10
Riley Smith,Australia,Senegal,Lateral derecho,25,28,1
Habib Ndiaye 787,Senegal,Australia,Defensa central,34,57,4
Habib Mané,Senegal,Senegal,Extremo izquierdo,37,73,19
Timothy Robinson,Estados Unidos,Estados Unidos,Extremo izquierdo,28,66,14
Dixon Gruezo Chávez,Ecuador,Ecuador,Mediocampista defensivo,34,124,8
Mason Jones,Inglaterra,España,Mediocampista ofensivo,21,2,0
Bilal Ziyech El Idrissi,Marruecos,Inglaterra,Delantero centro,38,72,22
Danilo Pereira,Brasil,Inglaterra,Extremo derecho,19,12,8
Luis Jiménez,México,Brasil,Extremo izquierdo,34,15,5
Pablo Alonso,España,Estados Unidos,Defensa central,37,91,12
Timothy Miller,Estados Unidos,Brasil,Mediocampista defensivo,28,49,5
Ahmed Adebayo,Nigeria,Nigeria,Extremo derecho,25,47,22
Emiliano García,México,México,Lateral izquierdo,31,88,10
Craig Mooy,Australia,España,Lateral izquierdo,30,81,2
Aurélien Mbappé,Francia,Francia,Delantero centro,22,14,14
Callum Green,Inglaterra,Francia,Extremo izquierdo,37,94,17
Daichi Ito Kamada,Japón,Alemania,Defensa central,27,39,3
Yuto Tanaka,Japón,Japón,Delantero centro,23,16,9
João Silva Ramos,Portugal,Portugal,Arquero,29,59,0
Oussama En-Nesyri,Marruecos,España,Delantero centro,31,15,14
Carlos Chávez Martínez,México,Estados Unidos,Lateral derecho,25,44,1
Harry Mooy,Australia,Portugal,Lateral derecho,25,38,4
Ayase Yamamoto,Japón,Francia,Lateral izquierdo,23,38,4
Sergio Sánchez,España,Francia,Mediocampista defensivo,26,62,1
Tyler Reyna,Estados Unidos,Estados Unidos,Mediocampista ofensivo,24,6,2
Kalidou Diallo,Senegal,España,Arquero,35,57,0
Aurélien Diaby,Francia,Francia,Delantero centro,19,7,7
Antoine Petit,Francia,Australia,Extremo izquierdo,18,4,4
Romain El Idrissi,Marruecos,Marruecos,Extremo derecho,38,37,6
Leroy Hoffmann,Alemania,Alemania,Mediocampista ofensivo,29,33,4
Raúl Martínez,México,Inglaterra,Lateral derecho,27,17,1
Timo Weber,Alemania,Francia,Lateral izquierdo,24,35,3
Christian Miller Johnson,Estados Unidos,Estados Unidos,Delantero centro,27,34,25
James Smith,Inglaterra,Inglaterra,Delantero centro,35,63,36
Jules Kanté,Francia,México,Defensa central,30,84,2
Craig Ryan,Australia,Australia,Defensa central,25,28,1
Rúben Gomes Pereira,Portugal,España,Mediocampista defensivo,27,61,9
Cameron Adams Carter,Estados Unidos,Japón,Lateral izquierdo,30,64,4
João Almeida Oliveira,Brasil,Senegal,Delantero centro,38,23,15
Aaron Leckie Goodwin,Australia,Australia,Defensa central,25,21,5
Hakim El Haddadi Saïss,Marruecos,Francia,Defensa central,20,19,2
Phil Walker,Inglaterra,Inglaterra,Defensa central,36,50,1
Dani Sánchez López,España,España,Arquero,22,18,0
Gio Reyna Zimmerman,Estados Unidos,Estados Unidos,Defensa central,35,78,13
Andrés Quintero,Ecuador,Ecuador,Delantero centro,30,104,37
Thiago Fernández,Argentina,Argentina,Defensa central,37,21,0
José Valencia,Ecuador,Ecuador,Delantero centro,25,13,8
Takumi Yamamoto,Japón,Japón,Arquero,19,8,0
Leon Schmidt Schneider,Alemania,Alemania,Defensa central,37,78,9
Facundo González,Argentina,España,Delantero centro,36,36,11
Jude Smith,Inglaterra,Inglaterra,Lateral izquierdo,32,60,9
Shoya Ito,Japón,Japón,Mediocampista defensivo,26,31,2
Nuno Santos Ferreira,Portugal,Inglaterra,Lateral izquierdo,20,22,0
Emiliano Ramírez Jiménez,México,Ecuador,Defensa central,20,11,1
Carlos Alonso Sánchez,España,Francia,Defensa central,34,56,4
Ahmed Musa,Nigeria,Francia,Defensa central,39,86,4
Jonas Schmidt,Alemania,Alemania,Mediocampista ofensivo,19,7,4
Carlos Chávez García,México,Ecuador,Extremo izquierdo,35,123,36
Nayef Bono Saïss,Marruecos,Inglaterra,Mediocampista ofensivo,35,58,3
Anas Benali El Haddadi,Marruecos,España,Mediocampista ofensivo,34,18,4
Julian Richter,Alemania,Francia,Defensa central,32,43,2
Ferran Moreno Ruiz,España,España,Mediocampista ofensivo,34,83,22
Callum White,Inglaterra,España,Extremo izquierdo,27,26,10
Calvin Adebayo,Nigeria,Alemania,Lateral derecho,19,17,1
José Valencia Chávez,Ecuador,Ecuador,Arquero,20,13,0
Thiago Martínez,Argentina,Argentina,Defensa central,30,42,5
Vitinha Fernandes,Portugal,Portugal,Delantero centro,28,61,24
Walker Zimmerman,Estados Unidos,Estados Unidos,Extremo izquierdo,27,34,17
Oussama Mazraoui,Marruecos,Francia,Extremo izquierdo,18,11,7
Alexis Hernández,México,México,Mediocampista defensivo,30,106,13
Gonzalo González,Argentina,Alemania,Delantero centro,32,71,11
Habib Ndiaye Diop,Senegal,Argentina,Lateral izquierdo,38,41,3
Moses Musa Nwankwo,Nigeria,Inglaterra,Delantero centro,18,5,5
Niklas Richter,Alemania,España,Defensa central,38,66,3
Agustín Acuña,Argentina,Argentina,Defensa central,25,77,1
Andrés Preciado,Ecuador,Ecuador,Defensa central,23,13,3
Jonas Müller,Alemania,Alemania,Mediocampista ofensivo,32,39,2
Leon Weber Müller,Alemania,Alemania,Lateral derecho,36,72,9
Lamine Mané,Senegal,Senegal,Lateral derecho,35,47,9
Nicolas Diop,Senegal,Senegal,Mediocampista ofensivo,25,51,2
Kingsley Bernard,Francia,Francia,Mediocampista ofensivo,28,66,8
Jordy Chávez Preciado,Ecuador,Ecuador,Arquero,39,56,0
Takumi Morita,Japón,Japón,Mediocampista defensivo,27,31,4
Kyle Green Wilson,Inglaterra,Francia,Lateral derecho,27,44,1
Mason Taylor,Inglaterra,Australia,Lateral derecho,30,35,0
Takumi Kamada,Japón,Alemania,Extremo izquierdo,21,12,7
Anas Benali Amrabat,Marruecos,España,Mediocampista ofensivo,19,4,4
Mike Diaby,Francia,Alemania,Mediocampista ofensivo,22,28,13
Gabriel Lima,Brasil,México,Extremo izquierdo,30,49,8
Marcus Taylor,Inglaterra,Inglaterra,Mediocampista defensivo,22,17,2
Nicolas Mané 803,Senegal,España,Defensa central,39,29,2
Bryan Méndez,Ecuador,Ecuador,Delantero centro,27,34,20
Bernardo Oliveira,Portugal,Portugal,Arquero,18,4,0
Lucas Camara,Francia,Ecuador,Delantero centro,28,69,14
Bukayo Walker Walker,Inglaterra,Inglaterra,Mediocampista defensivo,34,89,4
James Smith Smith,Inglaterra,Inglaterra,Delantero centro,31,70,18
Caio Ferreira,Brasil,Brasil,Arquero,25,64,0
Lucas Martin,Francia,Francia,Lateral izquierdo,19,17,1
Alex Balogun,Nigeria,Nigeria,Arquero,36,61,0
Abdou Koulibaly,Senegal,Portugal,Defensa central,21,6,0
Idrissa Ndiaye,Senegal,Senegal,Mediocampista ofensivo,27,25,0
Harry Green,Inglaterra,Inglaterra,Defensa central,32,97,0
Lachlan Irvine,Australia,Australia,Defensa central,39,93,4
Kelechi Eze Iheanacho,Nigeria,Nigeria,Extremo izquierdo,30,39,3
Jeremy Arboleda Valencia,Ecuador,España,Mediocampista defensivo,24,18,3
Iker Sánchez,España,Inglaterra,Mediocampista ofensivo,21,5,5
Uriel Jiménez García,México,México,Arquero,27,64,0
Gabriel Almeida Almeida,Brasil,Brasil,Mediocampista defensivo,23,22,4
Kevin Mina,Ecuador,Argentina,Delantero centro,26,36,4
Koki Sato Kobayashi,Japón,Japón,Lateral derecho,30,42,2
Adrien Camara,Francia,España,Mediocampista defensivo,32,113,15
Moussa Diop Diop,Senegal,Francia,Mediocampista ofensivo,26,32,2
Romain El Haddadi Saïss,Marruecos,Portugal,Lateral derecho,25,35,4
Bukayo Brown,Inglaterra,Inglaterra,Extremo derecho,28,53,26
Timo Richter,Alemania,Alemania,Lateral derecho,23,35,1
Gonzalo Romero,Argentina,Alemania,Lateral derecho,29,79,1
Ahmed Onyeka,Nigeria,Nigeria,Lateral izquierdo,24,3,0
Rodrygo Santos,Brasil,Japón,Delantero centro,27,60,38
Andrés Valencia,Ecuador,Inglaterra,Lateral derecho,26,45,0
Daichi Yamamoto Tanaka,Japón,Japón,Lateral izquierdo,37,24,2
Nicolás Sosa,Argentina,Francia,Mediocampista ofensivo,34,52,2
Lucas Fofana,Francia,Francia,Lateral izquierdo,37,69,8
Declan Wright,Inglaterra,Inglaterra,Defensa central,19,4,1
Mitchell Goodwin,Australia,Australia,Extremo izquierdo,32,54,7
Abdou Koulibaly Mané,Senegal,Portugal,Mediocampista ofensivo,34,104,12
Christian Pulisic,Estados Unidos,España,Lateral derecho,29,44,6
Callum King,Inglaterra,Inglaterra,Delantero centro,18,5,1
Daichi Ito Suzuki,Japón,Japón,Defensa central,37,44,6
Santiago Romero,Argentina,Francia,Mediocampista ofensivo,21,19,6
Aaron Grant,Australia,Inglaterra,Defensa central,26,43,0
Leroy Müller,Alemania,México,Defensa central,19,8,0
Lucas Acuña,Argentina,España,Extremo izquierdo,28,95,18
James Wilson Taylor,Inglaterra,Inglaterra,Arquero,31,134,0
Lucas Mbappé,Francia,Francia,Defensa central,26,21,0
Cheikhou Mané,Senegal,Brasil,Extremo derecho,22,20,6
Carlos Rodríguez Pérez,España,Alemania,Delantero centro,28,56,13
Moses Adebayo,Nigeria,Nigeria,Lateral derecho,36,10,1
Aiden Goodwin,Australia,Australia,Lateral izquierdo,33,57,5
Samuel Eze,Nigeria,Francia,Mediocampista defensivo,33,58,4
Olivier Kanté,Francia,Marruecos,Defensa central,20,11,3
Mitchell Grant,Australia,Japón,Defensa central,30,41,7
Aaron Grant Smith,Australia,Francia,Arquero,30,69,0
Hugo Alonso,España,España,Extremo izquierdo,18,6,6
Mason Wilson,Inglaterra,Nigeria,Lateral derecho,33,102,2
Kyle Taylor Smith,Inglaterra,Francia,Delantero centro,33,17,7
Rafael Almeida,Brasil,España,Lateral derecho,30,70,2
Koki Sato,Japón,Japón,Lateral derecho,39,90,2
Calvin Osimhen,Nigeria,Francia,Extremo izquierdo,29,68,16
Kylian Dubois Fofana,Francia,Francia,Arquero,35,33,0
Lachlan Grant,Australia,Australia,Lateral izquierdo,38,106,2
Jamie Maclaren,Australia,Japón,Lateral derecho,23,29,2
Kingsley Giroud,Francia,Francia,Defensa central,18,4,0
Vitinha Costa,Portugal,Marruecos,Lateral derecho,33,108,5
Kai Schneider,Alemania,Alemania,Lateral derecho,29,28,2
Diego Lima,Brasil,Brasil,Arquero,32,23,0
Bukayo Walker Brown,Inglaterra,Inglaterra,Mediocampista defensivo,21,26,1
Dixon Gruezo,Ecuador,Inglaterra,Lateral izquierdo,25,49,1
Sergio García,España,Senegal,Lateral derecho,21,28,1
Antoine Dubois,Francia,Australia,Arquero,23,46,0
Carlos Alonso Martínez,España,España,Lateral derecho,35,60,6
Lucas Oliveira,Brasil,Francia,Extremo derecho,26,23,11
Timothy Morris,Estados Unidos,Estados Unidos,Defensa central,32,17,2
Taiwo Omeruo,Nigeria,España,Lateral izquierdo,39,83,5
Kylian Petit,Francia,Estados Unidos,Mediocampista defensivo,21,15,2
Luis Preciado,Ecuador,Estados Unidos,Extremo derecho,39,113,27
Lucas Martin Dubois,Francia,Francia,Delantero centro,25,30,11
Nicolas Mané 677,Senegal,Australia,Defensa central,32,53,0
Andrés Caicedo Méndez,Ecuador,Ecuador,Lateral izquierdo,39,94,1
Wataru Suzuki,Japón,Inglaterra,Delantero centro,33,73,46
Riley Goodwin,Australia,Australia,Arquero,20,10,0
Leon Weber,Alemania,Alemania,Mediocampista ofensivo,22,17,6
Joshua Weber,Alemania,Alemania,Mediocampista ofensivo,25,23,2
Carlos Moreno,México,España,Mediocampista ofensivo,33,106,14
Daichi Sato,Japón,Brasil,Extremo izquierdo,21,25,8
Moussa Ndiaye,Senegal,Australia,Delantero centro,38,46,6
Jordan Johnson,Estados Unidos,Estados Unidos,Lateral izquierdo,29,27,2
Declan King,Inglaterra,Inglaterra,Delantero centro,22,4,4
Florian Wagner,Alemania,Francia,Lateral izquierdo,34,39,1
Luis Méndez,Ecuador,España,Extremo derecho,18,12,4
Idrissa Koulibaly Gueye,Senegal,Inglaterra,Delantero centro,26,70,15
Ismaïla Dieng,Senegal,Nigeria,Extremo derecho,20,7,5
Santiago Moreno,México,México,Extremo derecho,22,3,3
Diego Ferreira,Brasil,Brasil,Lateral izquierdo,25,11,1
Mitchell Mooy,Australia,Australia,Extremo derecho,35,85,6
Randal Giroud,Francia,México,Lateral izquierdo,35,21,3
Nicolás Acuña,Argentina,Senegal,Lateral izquierdo,18,4,1
Niklas Koch,Alemania,Alemania,Lateral izquierdo,35,28,1
Vitinha Ramos,Portugal,España,Delantero centro,35,46,33
Romain El Haddadi,Marruecos,Alemania,Delantero centro,30,94,22
Emiliano Jiménez,México,México,Delantero centro,22,43,14
Daichi Yamamoto,Japón,Japón,Mediocampista defensivo,22,17,2
Ismaïla Mané,Senegal,Senegal,Defensa central,37,66,7
Thiago Acuña,Argentina,Inglaterra,Arquero,36,56,0
Calvin Eze,Nigeria,Nigeria,Extremo izquierdo,32,74,32
Rodrygo Souza Oliveira,Brasil,Brasil,Lateral derecho,32,22,5
Harry Grant,Australia,Australia,Arquero,27,25,0
Jude Brown,Inglaterra,Inglaterra,Defensa central,26,30,2
Bruno Gomes,Portugal,Inglaterra,Delantero centro,32,54,43
Álvaro Rodríguez,España,España,Arquero,36,46,0
Tyler Pulisic,Estados Unidos,Argentina,Delantero centro,36,121,44
Christian Miller Adams,Estados Unidos,Estados Unidos,Defensa central,33,63,1
Idrissa Koulibaly Diop,Senegal,Senegal,Lateral derecho,36,135,14
Felipe Almeida,Brasil,Brasil,Defensa central,36,100,4
Théo Bernard,Francia,Francia,Mediocampista defensivo,25,35,2
Abdou Dieng,Senegal,España,Arquero,32,61,0
Diogo Gomes Costa,Portugal,México,Mediocampista defensivo,27,13,3
Vitinha Pereira,Portugal,Portugal,Defensa central,30,29,2
Moussa Mané,Senegal,Nigeria,Lateral derecho,18,4,0
Lautaro Álvarez Romero,Argentina,Marruecos,Arquero,33,81,0
Joshua Becker,Alemania,Senegal,Extremo derecho,26,30,4
Takumi Sato,Japón,Ecuador,Extremo izquierdo,18,1,1
Nabil Mbappé,Francia,Francia,Arquero,39,55,0
Thiago Fernández González,Argentina,Inglaterra,Lateral derecho,18,3,1
Sergio Moreno López,España,España,Mediocampista defensivo,19,11,3
Ritsu Endo,Japón,España,Mediocampista ofensivo,23,44,9
Shoya Yamamoto,Japón,Japón,Delantero centro,27,57,20
Ferran Moreno Pérez,España,España,Lateral izquierdo,21,12,2
Nuno Silva Gomes,Portugal,Portugal,Mediocampista defensivo,38,37,5
Guillermo Rodríguez,México,México,Mediocampista defensivo,25,16,2
Bernardo Neves,Portugal,Portugal,Mediocampista ofensivo,29,37,11
Kevin Quintero Arboleda,Ecuador,España,Arquero,22,22,0
Carlos Sánchez,México,Australia,Delantero centro,38,46,36
Jonas Koch,Alemania,Alemania,Lateral izquierdo,36,71,1
Gabriel Souza Oliveira,Brasil,España,Arquero,24,14,0
Sadio Koulibaly Koulibaly,Senegal,Senegal,Arquero,34,27,0
Habib Fall,Senegal,España,Delantero centro,36,98,9
Noah Turner,Estados Unidos,Estados Unidos,Lateral izquierdo,36,70,3
Uriel López Sánchez,México,México,Lateral derecho,21,24,2
Marcos Sánchez,España,Inglaterra,Extremo izquierdo,26,20,6
Mateo González,Argentina,Inglaterra,Extremo izquierdo,19,8,8
Jack Brown,Inglaterra,Estados Unidos,Mediocampista defensivo,30,31,7
Mitchell Rowles Ryan,Australia,España,Mediocampista ofensivo,36,41,13
Kylian Kanté,Francia,Japón,Mediocampista defensivo,18,1,1
Kaoru Nakamura,Japón,Alemania,Extremo derecho,31,77,13
Marcos Martínez,España,Inglaterra,Defensa central,31,94,6
Jordy Mina,Ecuador,Ecuador,Delantero centro,28,19,11
Alex Okafor,Nigeria,Brasil,Extremo derecho,26,58,1
Niklas Schmidt,Alemania,Alemania,Delantero centro,29,65,19
Jonas Schneider,Alemania,Alemania,Extremo izquierdo,37,57,29
Declan White,Inglaterra,Inglaterra,Extremo izquierdo,29,57,19
João Ramos,Portugal,España,Defensa central,24,8,1
Lucas Álvarez,Argentina,Argentina,Delantero centro,39,112,8
Serge Weber,Alemania,Francia,Lateral derecho,28,34,1
Idrissa Gueye,Senegal,Marruecos,Mediocampista defensivo,28,34,3
Habib Diop,Senegal,Senegal,Lateral izquierdo,25,57,9
Ethan Johnson,Estados Unidos,Senegal,Extremo derecho,21,27,11
Rodrygo Souza Pereira,Brasil,Brasil,Delantero centro,20,9,9
Kevin Valencia,Ecuador,Inglaterra,Lateral derecho,37,60,5
Santiago Pérez,Argentina,Inglaterra,Extremo derecho,38,102,8
Marcos López,España,Marruecos,Lateral derecho,25,14,1
Noah Adams,Estados Unidos,Estados Unidos,Extremo izquierdo,20,22,6
Santiago González,Argentina,Portugal,Extremo derecho,24,30,7
Jhon Preciado Arboleda,Ecuador,Ecuador,Lateral derecho,21,30,1
Mateo Fernández Molina,Argentina,Alemania,Mediocampista defensivo,18,6,1
Aaron Mooy,Australia,Alemania,Mediocampista ofensivo,26,26,4
Kyle Green,Inglaterra,Australia,Delantero centro,29,61,13
Emiliano Pérez,Argentina,España,Lateral izquierdo,28,66,8
Javier López,México,Inglaterra,Defensa central,31,60,1
Mathew Smith,Australia,Australia,Extremo derecho,18,1,1
Boulaye Gueye Diallo,Senegal,Senegal,Lateral izquierdo,18,3,0
Niklas Fischer,Alemania,Alemania,Mediocampista defensivo,30,46,1
Gavi Moreno Pérez,España,España,Lateral izquierdo,22,33,5
Rúben Silva,Portugal,Portugal,Mediocampista defensivo,36,36,3
Mitchell Duke,Australia,Argentina,Lateral derecho,26,43,1
Niklas Schneider,Alemania,Portugal,Mediocampista defensivo,31,44,1
Álvaro Moreno,España,Francia,Lateral derecho,39,77,7
Lamine Dieng,Senegal,España,Delantero centro,34,66,8
Rodrygo Almeida,Brasil,Brasil,Mediocampista defensivo,22,3,1
Bukayo Jones,Inglaterra,Inglaterra,Mediocampista ofensivo,30,99,19
Noah Miller Pulisic,Estados Unidos,Ecuador,Delantero centro,35,120,41
Callum White Wilson,Inglaterra,Inglaterra,Delantero centro,34,72,40
Antoine Petit Petit,Francia,Francia,Extremo derecho,19,7,5
Bukayo Walker,Inglaterra,Inglaterra,Delantero centro,23,18,6
Anas Hakimi,Marruecos,Inglaterra,Lateral derecho,19,8,0
Nuno Pereira Silva,Portugal,Alemania,Defensa central,28,37,2
José Caicedo,Ecuador,Ecuador,Lateral derecho,32,46,7
Kingsley Dubois Diaby,Francia,Portugal,Delantero centro,26,30,13
Nayef Hakimi,Marruecos,Marruecos,Delantero centro,34,75,47
Santiago Rodríguez,Argentina,Francia,Arquero,38,62,0
João Santos Souza,Brasil,España,Mediocampista defensivo,38,103,4
Miles Johnson Pulisic,Estados Unidos,Estados Unidos,Defensa central,38,77,3
Jude Jones,Inglaterra,Inglaterra,Defensa central,36,118,1
Michael Preciado,Ecuador,Ecuador,Extremo derecho,36,42,18
Ao Ito,Japón,Japón,Defensa central,37,27,1
Sergio Torres,España,Inglaterra,Defensa central,23,45,4
Gavi Torres,España,España,Lateral izquierdo,18,4,1
Nayef Benali,Marruecos,Francia,Lateral derecho,25,21,2
João Almeida,Brasil,Brasil,Defensa central,38,14,1
Rodrygo Lima,Brasil,Brasil,Mediocampista ofensivo,20,2,1
Anas Amrabat,Marruecos,Marruecos,Extremo izquierdo,37,84,15
Pape Koulibaly,Senegal,Senegal,Extremo izquierdo,26,19,6
Marcus Walker,Inglaterra,Inglaterra,Mediocampista ofensivo,28,49,6
Phil Wright Wilson,Inglaterra,Inglaterra,Defensa central,37,65,2
Diogo Gomes,Portugal,Portugal,Mediocampista defensivo,35,32,3
Luis Arboleda,Ecuador,Argentina,Extremo izquierdo,37,111,25
Nicolas Ndiaye,Senegal,Senegal,Defensa central,39,74,5
Vitinha Oliveira,Portugal,Portugal,Arquero,20,22,0
Nayef Ziyech,Marruecos,España,Delantero centro,36,86,31
Olivier Petit,Francia,Francia,Delantero centro,32,10,10
Ahmed Okafor,Nigeria,Nigeria,Extremo derecho,26,13,6
Rafael Souza,Brasil,Brasil,Delantero centro,19,1,1
Mathew Mooy Duke,Australia,Alemania,Delantero centro,35,68,33
André Santos,Portugal,Argentina,Mediocampista ofensivo,19,7,6
Samuel Balogun Musa,Nigeria,Nigeria,Extremo izquierdo,26,54,8
Victor Omeruo Balogun,Nigeria,Nigeria,Delantero centro,34,41,21
Diego Ramírez,México,México,Lateral derecho,39,111,1
Timothy Adams,Estados Unidos,Estados Unidos,Extremo derecho,33,88,25
Nabil Dubois,Francia,Estados Unidos,Extremo izquierdo,30,50,10
Emmanuel Osimhen,Nigeria,Brasil,Delantero centro,32,37,13
Santiago García,México,México,Extremo izquierdo,27,54,8
Sergio Moreno,España,España,Lateral derecho,29,30,6
Nabil Mbappé Bernard,Francia,Brasil,Mediocampista defensivo,27,34,5
Julián Martínez,Argentina,México,Extremo izquierdo,33,74,6
Rafael Pereira Costa,Portugal,Francia,Extremo izquierdo,28,72,7
Ismaïla Cissé,Senegal,Senegal,Lateral izquierdo,23,36,1
Pedri Rodríguez,España,Brasil,Lateral derecho,25,35,0
Raúl Rodríguez Ramírez,México,México,Mediocampista defensivo,34,112,2
Kyle Walker,Inglaterra,Alemania,Defensa central,36,49,1
Thiago Álvarez Pérez,Argentina,Brasil,Extremo derecho,29,70,7
Mehdi Mazraoui,Marruecos,México,Lateral izquierdo,21,34,2
Daichi Suzuki,Japón,Australia,Delantero centro,37,98,18
Shoya Sato,Japón,Japón,Mediocampista ofensivo,30,51,20
Ilias Hakimi,Marruecos,Marruecos,Defensa central,20,21,0
Takefusa Sato,Japón,Japón,Mediocampista defensivo,34,113,7
Blake Irvine,Australia,Inglaterra,Defensa central,34,62,5
Kyle White King,Inglaterra,Inglaterra,Extremo izquierdo,28,19,7
Serge Becker,Alemania,Alemania,Mediocampista defensivo,36,39,4
Kyle Taylor,Inglaterra,Inglaterra,Extremo izquierdo,19,6,6
Manuel Fischer,Alemania,España,Defensa central,24,60,3
Kai Richter,Alemania,Alemania,Lateral izquierdo,24,39,2
